Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.,,,,,,[1]Прочих органов,Состоят на учете в леч.уч.
1990,5370,2679,118,495,69,577,313,167,940,2691,39,279,83,147,463,121,1559,20100,,,,,,"1,559","20,100"
1991,5209,2678,107,499,73,547,315,156,981,2531,33,266,85,117,370,123,1537,20608,,,,,,"1,537","20,608"
1992,4930,2615,119,511,83,550,240,136,976,2315,40,302,78,94,327,110,1364,19726,,,,,,"1,364","19,726"
1993,4562,2292,125,456,65,422,242,119,863,2270,45,245,68,107,311,97,1397,19213,,,,,,"1,397","19,213"
1994,4104,2124,113,436,59,395,218,121,782,1980,40,197,57,88,260,88,1250,18384,,,,,,"1,250","18,384"
1995,4235,2133,102,439,68,420,242,137,725,2102,41,211,67,112,280,110,1257,17503,,,,,,"1,257","17,503"
1996,4211,2071,95,370,64,419,232,99,792,2140,36,211,68,93,301,81,1350,17176,,,,,,"1,350","17,176"
1997,4341,2120,96,414,75,414,212,106,803,2221,37,222,75,120,284,88,1395,17091,,,,,,"1,395","17,091"
1998,4782,2296,124,494,76,398,234,119,851,2486,49,276,101,120,293,111,1536,17377,,,,,,"1,536","17,377"
1999,4629,2329,115,427,76,407,255,119,930,2300,50,244,88,112,312,82,1412,17872,,,,,,"1,412","17,872"
2000,4461,2160,98,469,67,357,201,111,857,2301,39,228,82,113,228,86,1525,18114,,,,,,"1,525","18,114"
2001,4751,2291,93,448,102,427,164,126,931,2360,45,221,84,169,179,88,1574,18745,,,,,,"1,574","18,745"
2002,4322,1973,69,397,71,424,134,91,787,2349,49,211,97,134,171,72,1615,18861,,,,,,"1,615","18,861"
2003,4451,2080,78,393,73,413,160,105,858,2371,41,230,75,155,151,74,1645,19145,,,,,,"1,645","19,145"
2004,4304,2018,78,415,77,377,152,94,825,2286,39,188,95,113,171,72,1608,19550,,,,,,"1,608","19,550"
2005,4556,1956,75,412,67,323,153,88,838,2600,42,230,89,112,154,91,1882,19016,,,,,,"1,882","19,016"
2006,4536,2055,89,434,91,368,136,100,837,2481,41,222,81,81,156,83,1817,19599,,,,,,"1,817","19,599"
2007,4437,1947,80,456,65,304,124,83,835,2490,40,242,72,99,153,72,1812,19797,,,,,,"1,812","19,797"
2008,4283,1907,92,424,58,283,136,86,828,2376,46,204,64,83,156,66,1757,19600,,,,,,"1,757","19,600"
2009,4752,2166,116,475,67,390,150,99,869,2586,50,179,66,107,160,76,1948,20178,,,,,,"1,948","20,178"
2010,4533,1967,94,450,59,324,114,106,820,2566,51,178,73,112,159,92,1901,21004,,,,,,"1,901","21,004"
2011,5001,2246,101,503,77,373,147,117,928,2755,59,219,75,87,150,103,2062,21293,,,,,,"2,062","21,293"
2012,5011,2175,99,431,87,367,146,84,961,2836,67,239,78,101,130,88,2133,22281,,,,,,"2,133","22,281"
2013,5207,2231,101,466,97,382,111,119,955,2976,62,245,83,135,148,66,2237,22735,,,,,,"2,237","22,735"
2014,5569,2440,115,513,80,402,159,101,1070,3129,89,236,89,124,183,110,2298,23917,,,,,,"2,298","23,917"
2015,5466,2431,97,477,86,357,155,155,1104,3035,63,225,87,124,204,97,2235,24762,,,,,,"2,235","24,762"
2016,5456,2428,109,492,94,407,153,138,1035,3028,69,235,98,136,175,98,2217,25201,,,,,,"2,217","25,201"
2017,5538,2480,99,465,81,391,143,141,1160,3058,55,225,76,139,168,144,2251,26108,,,,,,"2,251","26,108"
2018,5719,2555,100,511,91,393,144,148,1168,3164,53,229,85,120,176,150,2351,27085,,,,,,"2,351","27,085"
2019,5625,2527,93,473,95,338,135,151,1242,3098,60,256,94,129,153,129,2277,27837,,,,,,"2,277","27,837"
2020,5389,2460,96,500,83,357,104,160,1160,2929,42,205,93,120,128,143,2198,28597,,,,,,"2,198","28,597"
2021,5753,2621,90,551,105,370,114,153,1238,3132,57,212,82,132,177,141,2321,29896,,,,,,"2,321","29,896"